"","x"
"630","AU040320"
"631","Sfpq"
"632","Ak2"
"633","Rnf19b"
"634","Marcksl1"
"635","Eif3i"
"636","Tinagl1"
"637","Zcchc17"
"638","Snrnp40"
"639","Pum1"
"640","Ythdf2"
"641","Snhg3"
"642","Atpif1"
"643","Ptafr"
"644","Fam76a"
"645","Sytl1"
"646","Nudc"
"647","Rps6ka1"
"648","Hmgn2"
"649","Lin28a"
"650","Cd52"
"651","Sh3bgrl3"
"652","Paqr7"
"653","Selenon"
"654","Man1c1"
"655","Runx3"
"656","Clic4"
"657","Ifnlr1"
"658","Rpl11"
"659","Hnrnpr"
"660","Kdm1a"
"661","Otud3"
"662","Mrto4"
"663","Padi4"
"664","Fbxo42"
"665","Plekhm2"
"666","Ddi2"
"667","Efhd2"
"668","Dhrs3"
"669","Tnfrsf1b"
"670","Mfn2"
"671","Agtrap"
"672","Exosc10"
"673","Ctnnbip1"
"674","Slc25a33"
"675","Gm13073"
"676","H6pd"
"677","Eno1"
"678","Errfi1"
"679","Camta1"
"680","Acot7"
"681","Rpl22"
"682","Kcnab2"
"683","Tnfrsf14"
"684","Faap20"
"685","Cdk11b"
"686","Cptp"
"687","Ints11"
"688","Acap3"
"689","C1qtnf12"
"690","Isg15"
"691","AW011738"
"692","Plekhn1"
"693","Samd11"
"694","Cdk6"
"695","Fam133b"
"696","Gatad1"
"697","Ankib1"
"698","Krit1"
"699","Akap9"
"700","Steap4"
"701","Sri"
"702","Hgf"
"703","Tmem60"
"704","Rsbn1l"
"705","A630072M18Rik"
"706","Ccdc146"
"707","Fgl2"
"708","Pmpcb"
"709","Dnajc2"
"710","Psmc2"
"711","Cdk5"
"712","Tmub1"
"713","Rheb"
"714","Galnt11"
"715","1700096K18Rik"
"716","Ube3c"
"717","Dnajb6"
"718","Hadhb"
"719","Cenpa"
"720","Krtcap3"
"721","Gm43660"
"722","AI839979"
"723","Fosl2"
"724","Ctbp1"
"725","Uvssa"
"726","Letm1"
"727","Nsd2"
"728","Gm1673"
"729","Mxd4"
"730","Fam193a"
"731","D5Ertd579e"
"732","Lyar"
"733","Rab28"
"734","Bod1l"
"735","Fbxl5"
"736","Prom1"
"737","Lcorl"
"738","Dhx15"
"739","Pi4k2b"
"740","Anapc4"
"741","Rbpj"
"742","Stim2"
"743","Rfc1"
"744","Rpl9"
"745","Lias"
"746","Ugdh"
"747","Smim14"
"748","Pds5a"
"749","N4bp2"
"750","Rhoh"
"751","9130230L23Rik"
