"seed","total_edges","network","AUPRC_act","AUPRC_inh"
3219,42,2,0.428610084838533,0.605360075654193
3646,27,1,0.823479391756703,0.709688799762329
3646,27,2,0.824553571428572,0.793890283386082
3646,30,1,0.756944444444444,0.664141414141414
3646,30,2,0.841071428571429,0.702018011228538
3646,33,1,0.841071428571428,0.573974867724868
3646,33,2,0.81359126984127,0.617275371687137
3646,36,1,0.786911231884058,0.523324662455097
3646,36,2,0.662445887445888,0.678509411370977
3646,39,1,0.704042980828695,0.577152014652015
3646,39,2,0.559145021645022,0.688828532578533
3646,42,1,0.608534322820037,0.564355287569573
3646,42,2,0.606428571428571,0.703863165819687
4119,27,1,0.824404761904762,0.739194139194139
4119,27,2,0.785714285714286,0.834920634920635
4119,30,1,0.769257703081233,0.514656771799629
4119,30,2,0.829831932773109,0.596811576581314
4119,33,1,0.657638888888889,0.519871794871795
4119,33,2,0.715401002506266,0.604967254967255
4119,36,1,0.595038450162674,0.48030303030303
4119,36,2,0.694101731601732,0.589091504308896
4119,39,1,0.61896645021645,0.484126984126984
4119,39,2,0.580725108225108,0.628361586049925
4119,42,1,0.6004329004329,0.530302237445095
4119,42,2,0.718070818070818,0.441798941798942
4250,27,1,0.744871794871795,0.811126373626374
4250,27,2,0.876750700280112,0.574285714285714
4250,30,1,0.664285714285714,0.657291666666667
4250,30,2,0.8,0.672777777777778
4250,33,1,0.656547619047619,0.586837121212121
4250,33,2,0.747022851008358,0.521825396825397
4250,36,1,0.69077380952381,0.624560439560439
4250,36,2,0.752454278812975,0.484686147186147
4250,39,1,0.486904761904762,0.477237561691343
4250,39,2,0.60489417989418,0.338305875709968
4250,42,1,0.343881118881119,0.494894688644689
4250,42,2,0.497675657675658,0.486066126855601
4510,27,1,0.73,0.344761904761905
4510,27,2,0.726074520717378,0.464285714285714
4510,30,1,0.742916174734356,0.324166666666667
4510,30,2,0.647955747955748,0.523659147869674
4510,33,1,0.595833333333333,0.322916666666667
4510,33,2,0.571766196766197,0.510185185185185
4510,36,1,0.579545454545454,0.284920634920635
4510,36,2,0.517809967809968,0.405176767676768
4510,39,1,0.534798534798535,0.280050505050505
4510,39,2,0.483249838396897,0.42969696969697
4510,42,1,0.626450216450216,0.255113636363636
4510,42,2,0.497490604633462,0.443337218337218
5042,27,1,0.740625,0.555238095238095
5042,27,2,0.692517006802721,0.711607142857143
5042,30,1,0.65942634363687,0.592768440709617
5042,30,2,0.627080832332933,0.611666666666667
5042,33,1,0.442255892255892,0.469194139194139
5042,33,2,0.500744047619048,0.519090909090909
5042,36,1,0.515481941568898,0.36389800675515
5042,36,2,0.472133777387401,0.452659245516388
5042,39,1,0.417643467643468,0.387603187874927
5042,39,2,0.429710567210567,0.529563492063492
5042,42,1,0.444973544973545,0.369763809707419
5042,42,2,0.441244588744589,0.408089133089133
5236,27,1,0.642066498316498,0.703219696969697
5236,27,2,0.484027777777778,0.75172068827531
5236,30,1,0.645726495726496,0.709974747474747
5236,30,2,0.489583333333333,0.857936507936508
5236,33,1,0.501304713804714,0.808479020979021
5236,33,2,0.464699899098395,0.756966991341991
5236,36,1,0.615452602952603,0.778371628371628
