"seed","total_edges","network","AUPRC_act","AUPRC_inh"
1594,30,2,0.589877546695728,0.331666666666667
1594,33,1,0.629017857142857,0.465896957073428
1594,33,2,0.542362183271274,0.287373737373737
1594,36,1,0.593763528138528,0.516687756687757
1594,36,2,0.55999530772258,0.284945054945055
1594,39,1,0.592256817256817,0.445963203463204
1594,39,2,0.525568464665828,0.257546583850932
1594,42,1,0.572915526363802,0.345137445887446
1594,42,2,0.479292929292929,0.259230769230769
1612,27,1,0.741984126984127,0.653835978835979
1612,27,2,0.622991071428571,0.641666666666667
1612,30,1,0.69461695363951,0.465432688226806
1612,30,2,0.529675099206349,0.648809523809524
1612,33,1,0.664955679241394,0.327462121212121
1612,33,2,0.500253830599225,0.577568922305764
1612,36,1,0.590516774891775,0.328360528360528
1612,36,2,0.520008116883117,0.569023569023569
1612,39,1,0.527602258852259,0.31155303030303
1612,39,2,0.427949735449735,0.496767676767677
1612,42,1,0.490313852813853,0.308075951825952
1612,42,2,0.521957671957672,0.446969696969697
2120,27,1,0.74375,0.834922022422023
2120,27,2,0.71765873015873,0.872023809523809
2120,30,1,0.631996658312448,0.572813569872393
2120,30,2,0.61625150060024,0.727161319073084
2120,33,1,0.614285714285714,0.624018218623482
2120,33,2,0.432407407407407,0.771485260770975
2120,36,1,0.459608843537415,0.703130203130203
2120,36,2,0.458928571428571,0.780196787339644
2120,39,1,0.460228833666334,0.629047619047619
2120,39,2,0.511160714285714,0.837982503607504
2120,42,1,0.4405028998779,0.515824175824176
2120,42,2,0.508407738095238,0.447227608992315
2569,27,1,0.703429705215419,0.727645502645503
2569,27,2,0.714133986928105,0.637857142857143
2569,30,1,0.678306878306878,0.676969696969697
2569,30,2,0.703240740740741,0.638928571428571
2569,33,1,0.640241702741703,0.565068002173265
2569,33,2,0.60625,0.538496810207337
2569,36,1,0.658659577137838,0.441872710622711
2569,36,2,0.565166219649915,0.530550798407941
2569,39,1,0.693945406445406,0.497202616224355
2569,39,2,0.548317481129981,0.424134199134199
2569,42,1,0.666978854478855,0.370912339294692
2569,42,2,0.406498015873016,0.371454326923077
3219,27,1,0.757319223985891,0.688988095238095
3219,27,2,0.833848330999066,0.709821428571429
3219,30,1,0.684693877551021,0.687587535014006
3219,30,2,0.786165751078032,0.567676767676768
3219,33,1,0.62150385846038,0.619659324593535
3219,33,2,0.778031228031228,0.536668886668887
3219,36,1,0.588421855921856,0.596215127465128
3219,36,2,0.788544295210962,0.494712885154062
3219,39,1,0.604790168679058,0.389239463901503
3219,39,2,0.673860138892819,0.534323240165631
3219,42,1,0.487496861376172,0.361629853695864
3219,42,2,0.49897135910067,0.54452380952381
3646,27,1,0.797288915566226,0.481839402427638
3646,27,2,0.674107142857143,0.778371886827769
3646,30,1,0.77312925170068,0.588461538461539
3646,30,2,0.674107142857143,0.80224728974729
3646,33,1,0.788605442176871,0.443888888888889
3646,33,2,0.680952380952381,0.721841931216931
3646,36,1,0.756182065217391,0.426280193236715
3646,36,2,0.508189033189033,0.617029715926775
3646,39,1,0.590324159967017,0.434090909090909
3646,39,2,0.555387667887668,0.620183558271794
3646,42,1,0.514965986394558,0.374328367710721
