"seed","total_edges","network","AUPRC_act","AUPRC_inh"
1594,27,1,0.632222222222222,0.688888888888889
1594,27,2,0.591914682539682,0.506666666666667
1594,30,1,0.585833333333333,0.643105158730159
1594,30,2,0.473310485810486,0.441428571428571
1594,33,1,0.537460317460317,0.636671335200747
1594,33,2,0.412318006068006,0.343253968253968
1594,36,1,0.46169733044733,0.610119047619048
1594,36,2,0.391508954008954,0.318055555555556
1594,39,1,0.449357586857587,0.585497835497836
1594,39,2,0.353393469557263,0.238070926657883
1594,42,1,0.373591954022989,0.552142857142857
1594,42,2,0.338415404040404,0.235353535353535
1612,27,1,0.52037037037037,0.436160714285714
1612,27,2,0.575595238095238,0.58558201058201
1612,30,1,0.391325536062378,0.398345588235294
1612,30,2,0.528162202380952,0.480092592592593
1612,33,1,0.327020202020202,0.329166666666667
1612,33,2,0.469157268170426,0.426677805625174
1612,36,1,0.302104377104377,0.287405303030303
1612,36,2,0.420048701298701,0.330543530543531
1612,39,1,0.287859362859363,0.245659722222222
1612,39,2,0.361259920634921,0.282006974506974
1612,42,1,0.261190476190476,0.22232905982906
1612,42,2,0.344913766788767,0.256613756613757
2120,27,1,0.680555555555556,0.475850340136054
2120,27,2,0.711390692640693,0.706944444444444
2120,30,1,0.615914786967419,0.348196778711485
2120,30,2,0.63481824548001,0.585080143168378
2120,33,1,0.574625220458554,0.300751879699248
2120,33,2,0.607751623376623,0.494398348565015
2120,36,1,0.539969135802469,0.248690025252525
2120,36,2,0.605073051948052,0.435782427449094
2120,39,1,0.517164162997496,0.228251262626263
2120,39,2,0.594209956709957,0.390437032103699
2120,42,1,0.414417989417989,0.218635878010878
2120,42,2,0.579710393772894,0.329275970942638
2569,27,1,0.660185185185185,0.400744047619048
2569,27,2,0.658107687519452,0.440625
2569,30,1,0.637037037037037,0.335416666666667
2569,30,2,0.619488536155203,0.430208333333333
2569,33,1,0.499285714285714,0.269948308270677
2569,33,2,0.57982202982203,0.350552161654135
2569,36,1,0.428172877846791,0.243157016594517
2569,36,2,0.530459556546513,0.338020833333333
2569,39,1,0.417738095238095,0.217988201412114
2569,39,2,0.481711344211344,0.323139880952381
2569,42,1,0.355,0.196986346986347
